index,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
30393,Ohio Street Beach,08/18/2016 05:00:00 AM,23.8,2.0,,0.084,3.0,10.4,08/18/2016 5:00 AM,OhioStreetBeach201608180500
30394,Calumet Beach,08/18/2016 06:00:00 AM,23.3,1.22,,0.098,4.0,11.7,08/18/2016 6:00 AM,CalumetBeach201608180600
30395,Montrose Beach,08/18/2016 06:00:00 AM,23.9,0.0,,0.13,8.0,11.3,08/18/2016 6:00 AM,MontroseBeach201608180600
30396,Ohio Street Beach,08/18/2016 06:00:00 AM,23.7,2.03,,0.087,4.0,10.4,08/18/2016 6:00 AM,OhioStreetBeach201608180600
30397,Calumet Beach,08/18/2016 07:00:00 AM,23.3,1.06,,0.106,3.0,11.7,08/18/2016 7:00 AM,CalumetBeach201608180700
30398,Montrose Beach,08/18/2016 07:00:00 AM,23.8,0.0,,0.127,6.0,11.3,08/18/2016 7:00 AM,MontroseBeach201608180700
30399,Ohio Street Beach,08/18/2016 07:00:00 AM,23.7,1.79,,0.082,4.0,10.4,08/18/2016 7:00 AM,OhioStreetBeach201608180700
30400,Calumet Beach,08/18/2016 08:00:00 AM,23.3,1.21,,0.098,3.0,11.7,08/18/2016 8:00 AM,CalumetBeach201608180800
30401,Montrose Beach,08/18/2016 08:00:00 AM,23.8,0.0,,0.157,2.0,11.3,08/18/2016 8:00 AM,MontroseBeach201608180800
30402,Ohio Street Beach,08/18/2016 08:00:00 AM,23.6,1.68,,0.132,2.0,10.4,08/18/2016 8:00 AM,OhioStreetBeach201608180800
30403,Calumet Beach,08/18/2016 09:00:00 AM,23.2,1.04,,0.103,3.0,11.7,08/18/2016 9:00 AM,CalumetBeach201608180900
30404,Montrose Beach,08/18/2016 09:00:00 AM,23.7,0.0,,0.136,5.0,11.3,08/18/2016 9:00 AM,MontroseBeach201608180900
30405,Ohio Street Beach,08/18/2016 09:00:00 AM,23.6,1.77,,0.116,2.0,10.4,08/18/2016 9:00 AM,OhioStreetBeach201608180900
30406,Calumet Beach,08/18/2016 12:00:00 PM,24.0,1.25,,0.228,2.0,11.7,08/18/2016 12:00 PM,CalumetBeach201608181200
30407,Montrose Beach,08/18/2016 12:00:00 PM,24.2,0.0,,0.125,3.0,11.3,08/18/2016 12:00 PM,MontroseBeach201608181200
30408,Ohio Street Beach,08/18/2016 12:00:00 PM,24.4,1.71,,0.155,3.0,10.4,08/18/2016 12:00 PM,OhioStreetBeach201608181200
30409,Calumet Beach,08/18/2016 01:00:00 PM,24.2,1.29,,0.184,2.0,11.7,08/18/2016 1:00 PM,CalumetBeach201608181300
30410,Montrose Beach,08/18/2016 01:00:00 PM,24.6,0.0,,0.122,3.0,11.3,08/18/2016 1:00 PM,MontroseBeach201608181300
